Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;Valor;Valor_USD
Apartamento;Apartamento en venta en Santa Barbara;4;2;97;Santa Barbara;480000000.0;124320.12
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;92;Ciudad Salitre;560000000.0;145040.15
Apartamento;Apartamento en venta en Cedritos;1;2;55;Cedritos;365000000.0;94535.09
Casa;Casa en venta en Las Villas;5;4;278;Las Villas;1200000000.0;310800.31
Apartamento;Apartamento en venta en Los Rosales;1;1;51;Los Rosales;371000000.0;96089.1
Casa;Casa en venta en Zona Noroccidental;4;3;148;Zona Noroccidental;850000000.0;220150.22
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;428000000.0;110852.11
Apartamento;Apartamento en venta en Bella Suiza;3;3;127;Bella Suiza;650000000.0;168350.17
Apartamento;Apartamento en venta en Kennedy;3;2;68;Kennedy;295000000.0;76405.08
Apartamento;Apartamento en venta en Tintala;3;1;47;Tintala;144000000.0;37296.04
Apartamento;Apartamento en venta en Cedritos;3;2;70;Cedritos;280000000.0;72520.07
Apartamento;Apartamento en venta en Tintala;3;2;54;Tintala;162000000.0;41958.04
Apartamento;Apartamento en venta en Cedritos;3;3;86;Cedritos;620000000.0;160580.16
Apartamento;Apartamento en venta en Santa Barbara;3;3;118;Santa Barbara;1200000000.0;310800.31
Apartamento;Apartamento en venta en Mazuren;3;2;88;Mazuren;360000000.0;93240.09
Local;Local en venta en Chapinero;2;2;74;Chapinero;350000000.0;90650.09
Apartamento;Apartamento en venta en Engativa;3;2;75;Engativa;413500000.0;107096.61
Apartamento;Apartamento en venta en La Calleja;3;4;248;La Calleja;1200000000.0;310800.31
Apartamento;Apartamento en venta en Cedritos;2;1;53;Cedritos;370000000.0;95830.1
Apartamento;Apartamento en venta en Ciudad Salitre;3;2;90;Ciudad Salitre;600000000.0;155400.16
Apartamento;Apartamento en venta en Fontibón;3;2;83;Fontibón;390000000.0;101010.1
Apartamento;Apartamento en venta en El Batán;2;2;75;El Batán;447500000.0;115902.62
Apartamento;Apartamento en venta en Bosa;2;1;56;Bosa;132000000.0;34188.03
Apartamento;Apartamento en venta en Chapinero Central;3;2;59;Chapinero Central;180000000.0;46620.05
Apartamento;Apartamento en venta en El Batán;1;1;43;El Batán;285000000.0;73815.07
Apartamento;Apartamento en venta en La Uribe;3;2;97;La Uribe;620000000.0;160580.16
Apartamento;Apartamento en venta en Usaquén;2;2;69;Usaquén;400000000.0;103600.1
Apartamento;Apartamento en venta en La Calleja;3;4;174;La Calleja;1380000000.0;357420.36
Apartamento;Apartamento 54,11M;1;2;54;Zona Noroccidental;335238800.0;86826.94
Apartamento;Apartamento en venta en Santa Barbara;2;3;92;Santa Barbara;820000000.0;212380.21
Apartamento;Apartamento en venta en Los Rosales;1;1;46;Los Rosales;545000000.0;141155.14
Apartamento;Apartamento en venta en Fontibón;3;2;48;Fontibón;217000000.0;56203.06
Apartamento;Apartamento en venta en Engativa;3;3;95;Engativa;495000000.0;128205.13
Casa;Casa en venta en Engativa;3;2;66;Engativa;330000000.0;85470.09
Apartamento;Apartamento en venta en El Chicó;3;3;116;El Chicó;570000000.0;147630.15
Apartamento;Apartamento en venta en Engativa;2;2;60;Engativa;280000000.0;72520.07
Apartamento;Apartamento en venta en Chapinero;4;5;300;Chapinero;2000000000.0;518000.52
Casa;Casa en venta en Hayuelos;3;2;80;Hayuelos;390000000.0;101010.1
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;58;Zona Noroccidental;311000000.0;80549.08
Bodega;Bodega en venta en Puente Aranda;3;2;68;Puente Aranda;164000000.0;42476.04
Apartamento;Apartamento en venta en Teusaquillo;1;2;50;Teusaquillo;303960000.0;78725.72
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;60;Zona Noroccidental;387000000.0;100233.1
Apartamento;Apartamento en venta en Zona Noroccidental;2;3;75;Zona Noroccidental;390000000.0;101010.1
Apartamento;Apartamento en venta en Kennedy;3;2;65;Kennedy;315000000.0;81585.08
Apartamento;Apartamento en venta en Los Mártires;3;2;59;Los Mártires;245000000.0;63455.06
Apartamento;Apartamento en venta en Bosa;2;1;42;Bosa;136000000.0;35224.04
Apartamento;Apartamento en venta en Tintala;3;2;45;Tintala;151000000.0;39109.04
Apartamento;Apartamento en venta en Bogotá D.C;3;1;47;Bogotá D.C;129500000.0;33540.53
Apartamento;Apartamento en venta en Kennedy;2;1;38;Kennedy;150000000.0;38850.04
Apartamento;Apartamento en venta en Mazuren;3;3;109;Mazuren;360000000.0;93240.09
Apartamento;Apartamento en venta en Bosa;3;1;45;Bosa;141000000.0;36519.04
